"";"X";"openalex_id";"journal_name";"publication_year";"osf_links";"git_links";"has_osf";"has_git";"has_any_link";"all_osf_links_clean";"all_git_links_clean"
"1";1;"W4414152151";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"2";2;"W4414126141";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"3";3;"W4414126223";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"4";4;"W4414111991";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"5";5;"W4414088185";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"6";6;"W4414144899";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"7";7;"W4414145070";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"8";8;"W4414067346";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"9";9;"W4414067613";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"10";10;"W4414038449";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"11";11;"W4414035849";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"12";12;"W4414038407";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"13";13;"W4414038447";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"14";14;"W4414040125";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"15";15;"W4413992222";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"16";16;"W4413991901";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"17";17;"W4413952349";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"18";18;"W4413968463";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"19";19;"W4413955154";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"20";20;"W4413949165";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"21";21;"W4413968299";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"22";22;"W4413910107";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"23";23;"W4413922226";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"24";24;"W4413878801";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"25";25;"W4413901149";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"26";26;"W4413885254";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"27";27;"W4413895071";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"28";28;"W4413849259";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"29";29;"W4413842738";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"30";30;"W4413846048";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
