"";"openalex_id";"journal_name";"publication_year";"osf_links";"git_links";"has_osf";"has_git";"has_any_link";"all_osf_links_clean";"all_git_links_clean";"country";"author";"title";"keywords";"method_quali";"open_answers";"interview";"observation";"documents";"method_quanti";"one_m";"multiple_m";"quasiexperiment";"experiment";"intervention";"primary_data";"secondary_data";"review";"method_other";"open_data";"open_code";"open_material";"open_analysis";"prerig";"notes2"
"1";"W4319320567";"Frontiers in Education";2023;NA;"https://github.com/aaronreichmenberliner/NE290-Spring2021-Nuclear-History-Politics-Futures-";FALSE;TRUE;TRUE;NA;"github.com/aaronreichmenberliner/ne290-spring2021-nuclear-history-politics-futures-";"USA";"Berliner, A. J.; Hecla, J.";"Nuclear history, politics, and futures from (A)toms-to(Z)oom: Design and deployment of a remote-learning special-topics course for nuclear engineering education";"nuclear physics and engineering history; remote education; STEM pedagogy; nontechnical engineering education; history of science";"0";"0";"0";0;"0";"1";"1";"0";0;0;1;1;"0";0;"";"0";"0";"1";"0";"";"course_material"
"2";"W4387048380";"Education Sciences";2023;NA;"https://github.com/jcpaiva-fgpe/b110a4ad-3596-409e-b17c-90fe013804ed";FALSE;TRUE;TRUE;NA;"github.com/jcpaiva-fgpe/b110a4ad-3596-409e-b17c-90fe013804ed";"Poland";"Swacha, J.; Szyd?owska, J.";"Does Gamification Make a Difference in Programming Education? Evaluating FGPE-Supported Learning Outcomes";"gamification in education; interactive learning environment; programming learning environment; gamified learning outcomes; learning outcomes assessment";"0";"0";"0";0;"0";"1";"0";"0";1;0;1;0;"0";0;"";"0";"0";"1";"0";"";"course_material"
"3";"W4386916021";"Frontiers in Education";2023;NA;"https://github.com/llorban/term.papers";FALSE;TRUE;TRUE;NA;"github.com/llorban/term.papers";"Fidschi";"Orbán, L. L.";"Using version control to document genuine effort in written assignments: a protocol with examples for universities";"written assignment; version control; assessment methods; Git; higher education";"0";"0";"0";0;"0";"0";"0";"0";0;0;0;0;"0";0;"methodical";"0";"0";"1";"0";"";"course_material"
"4";"W4403542385";"Frontiers in Education";2024;NA;"https://github.com/sb2cl/SynBio_Modeling_Webinars||https://github.com/sb2cl/SynBio_Modeling_Webinars||https://github.com/sb2cl/SynBio_Modeling_Webinars";FALSE;TRUE;TRUE;"";"";"International";"Boada Y.; Flores F. J.; Vignoni A.";"Integrating mathematical modeling into synthetic biology education: a comprehensive approach through webinars and syllabus development";"mathematical modeling; synthetic biology; webinars; syllabus; undergraduate education";"0";"0";"0";0;"0";"0";"0";"0";0;0;1;0;"0";0;"didactic";"1";"1";"1";"0";"";"course_material"
"5";"W3206823529";"Frontiers in Education";2021;NA;"https://github.com/biovcnet/biovcnet.github.io/wiki||https://github.com/vegandevs/vegan||https://github.com/biovcnet/biovcnet.github.io/wiki";FALSE;TRUE;TRUE;"";"";"United States";"Bahr T.; Ball H. C.; Bayline J. L.; Beard N.; Bernick J.; Bivens N.; Brown C.; Burdett T.; Burks R.; Castoe T. A.; et al.";"The Bioinformatics Virtual Coordination Network: An Open Community for Collaborative Learning and Training";"bioinformatics; virtual coordination network; online training; computational biology; open community";"0";"0";"0";0;"0";"1";"1";"0";0;0;1;1;"0";0;"didactic";"0";"0";"1";"0";"";"course_material"
"6";"W4415738352";"Frontiers in Education";2025;"osf.io/swm25/? view_only=d1521ade7f9b439394ad4b51cb725f06";NA;TRUE;FALSE;TRUE;"osf.io/swm25/? view_only=d1521ade7f9b439394ad4b51cb725f06";NA;"UK";"Hennessey, A.; MacQuarrie, S.; Pert, K.; Mason, C.; Verity, L.";"Advocating for a holistic culture of school wellbeing—an evaluation of the Well Schools whole school approach to pupil and teacher wellbeing";"wellbeing; mental health; whole school interventions; evaluation; teachers";"1";"0";"1";0;"1";"0";"0";"0";0;0;0;1;"0";0;"";"1";"0";"1";"1";"";"data_collection"
"7";"W4308416323";"Frontiers in Education";2022;"osf.io/hn7wm";NA;TRUE;FALSE;TRUE;"osf.io/hn7wm";NA;"Germany";"Bauer, E.; Sailer, M.; Kiesewetter, J.; Fischer, M. R.; Fischer, F.";"Diagnostic argumentation in teacher education: Making the case for justification, disconfirmation, and transparency";"teacher education; diagnostic argumentation; scientific argumentation; diagnostic accuracy; diagnostic judgment; diagnostic knowledge";"0";"0";"0";0;"0";"1";"0";"1";0;0;0;0;"1";0;"";"0";"0";"1";"0";"";"fallbeispiele"
"8";"W4285042320";"Cogent Education";2022;"osf.io/zuby8";NA;TRUE;FALSE;TRUE;"osf.io/zuby8";NA;"Vietnam";"Thi Phuong, T. T.; Danh, N. N.; Thi Le, T. T.; Phuong, T. N.; Thi Thanh, T. N.; Minh, C. L.";"Research on the application of ICT in Mathematics education: Bibliometric analysis of scientific bibliography from the Scopus database";"ICT; mathematics education; bibliometric analysis; Scopus";"0";"0";"0";0;"0";"1";"0";"1";0;0;0;0;"1";1;"bibliometric";"1";"0";"1";"0";"0";"fragebogen"
"9";"W3197246596";"AERA Open";2021;"osf.io/47jys";NA;TRUE;FALSE;TRUE;"osf.io/47jys";NA;"USA";"Courey, K. A.; Lee, M. D.";"A Model-Based Examination of Scale Effects in Student Evaluations of Teaching";"student evaluations of teaching; response scales; scale mapping";"0";"0";"0";0;"0";"1";"1";"0";0;1;1;1;"1";0;"";"1";"1";"1";"0";"";"fragebogen"
"10";"W4415956526";"Education Sciences";2025;"OSF.IO/QDGBX";NA;TRUE;FALSE;TRUE;"osf.io/qdgbx";NA;"Spain";"Pablo-Lerchundi, I.; Sastre-Merino, S.; Riquelme-Dominguez, J. M.; Mahtani, K.; Mendonça, H.";"Gamifying Renewable Energy: Enhancing Pre-University Students’ Knowledge and Attitudes Toward Science and Technology";"escape room; science and technology (S&T); science, technology, engineering, and mathematics (STEM); sustainability education";"0";"0";"0";0;"0";"1";"0";"1";0;0;1;1;"0";0;"";"1";"0";"1";"0";"";"fragebogen"
