Article_ID,OpenAlex_ID,Title,Keyword,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
1,W4285042320,Research on the application of ICT in Mathematics education: Bibliometric analysis of scientific bibliography from the Scopus database,ICT; mathematics education; bibliometric analysis; Scopus,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,W4410643918,Making strides in doctoral-level career outcomes reporting: a review of classification and visualization methodologies in graduate education,graduate education; doctoral training; program evaluation; career outcomes; taxonomy; PhD,0,0,1,1,0,0,0,0,0,0,1,0,0,0
3,W4225611662,"Risk and Protective Factors of College Students Psychological Well-Being During the COVID-19 Pandemic: Emotional Stability, Mental Health, and Household Resources","COVID-19 pandemic, college students, psychological well-being, emotions, experience sampling method, personality, intraindividual trajectories",0,0,1,0,1,0,0,0,0,0,0,0,0,0
4,W4206828491,A Different Experience in a Different Moment? Teachers Social Media Use Before and During the COVID-19 Pandemic,online spaces; teacher learning; professional learning networks; COVID-19; social media; stress,0,0,0,0,1,1,0,1,0,0,0,0,1,0
5,W2902600776,An Evaluation of the Educational Impact of College Campus Visits: A Randomized Experiment,college access; experimental research; postsecondary education; program evaluation; rural education; socioemotional skills; survey research,0,0,1,1,1,0,0,0,0,0,1,0,0,0
6,W3167913005,Understanding Public Sentiment About Educational Reforms: The Next Generation Science Standards on Twitter,"public sentiment, Next Generation Science Standards, sentiment analysis, educational data science",0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,W4237051483,Going to College With a Posse: How Having High School Peers on Campus Supports College Achievement,admissions; equity; first-generation college students; hierarchical linear modeling; higher education; peer interaction/friendship; privilege; psychology; regression analyses; retention; social belonging; social capital; socioeconomic status,0,0,1,0,1,0,1,0,0,0,0,0,0,0
8,W3197246596,A Model-Based Examination of Scale Effects in Student Evaluations of Teaching,student evaluations of teaching; response scales; scale mapping,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,W3043092346,"Content Analysis of Textbooks via Natural Language Processing: Findings on Gender, Race, and Ethnicity in Texas U.S. History Textbooks",artificial intelligence; case studies; content analysis; curriculum; data science; gender studies; history; natural language processing; race; textbooks; textual analysis,1,0,0,0,0,0,1,0,1,0,0,1,0,0
10,W2964514965,Academic Harms of Missing High School and the Accuracy of Current Policy Thresholds: Analysis of Preregistered Administrative Data From a California School District,absenteeism; high school; preregistration; secondary data,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11,W2945690307,Effect of Local Norms on Racial and Ethnic Representation in Gifted Education,assessment; descriptive analysis; diversity; equity; gifted education; hierarchical linear modeling; policy analysis,0,0,0,1,0,0,1,0,0,0,1,0,0,0
12,W2923218589,Taking It to the Next Level: A Field Experiment to Improve Instructor-Student Relationships in College,college; persistence; instructor-student relationships; similarity; intervention,0,0,1,0,0,0,0,0,1,0,0,0,0,0
13,W4402517993,"Characterizing an online, science-based affinity space using topic modelling, diversity indices, and social network analysis",Machine learning; science communication; science outreach; InfoMaps; Netlytic; NodeXL,1,0,0,0,0,0,1,0,0,0,0,0,1,0
14,W4388791059,Determine the impact of Emotive Intelligent Spaces on childrens behavioural and cognitive outcomes,early childhood; colour; intervention; working memory; self-regulation,0,0,0,0,1,0,0,0,1,0,0,0,0,1
15,W7122585168,Are U.S. graduate curricula ready to prepare social data scientists for the AI era?,artificial intelligence; coursework; curriculum gap; data science; Rasch modeling; text analysis; web-scraping,1,0,0,0,0,0,0,0,1,0,0,0,0,0
16,W4417102980,Testing the impact of two afterschool museum outreach interventions on elementary childrens STEM outcomes: hands-on STEM alone or with STEM stories,"informal learning; science, technology, engineering and math (STEM); museum education; family involvement; Expectancy-Value Theory; achievement",1,1,0,1,0,0,0,0,1,0,0,0,1,1
17,W4415649328,Towards actionable recommendations for exam preparation using isomorphic problem banks and Explainable Machine Learning,Explainable Machine Learning; SHAP value; predictive analysis; assessment outcome; actionable recommendation,1,0,0,1,0,0,0,0,0,0,0,0,0,0
18,W4413180406,"The limited role of expectancy-value beliefs, self-efficacy, and perceived attentional control in predicting online learning outcomes in a general education course",academic motivation; self-efficacy; expectancy-value; higher education; introductory psychology; online courses,0,0,1,0,1,0,0,1,0,0,0,0,0,0
