;openalex_id;journal_id;journal_name;publication_year;has_osf;has_git;doi;country;author;title;keywords;method_quali;open_answers;interview;observation;documents;method_quanti;one_m;multiple_m;quasiexperiment;experiment;intervention;primary_data;secondary_data;review;method_other;open_data;open_code;open_material;open_analysis;prerig;notes2;study_type;
1;W4285042320;S2764918247;Cogent Education;2022;TRUE;FALSE;https://doi.org/10.1080/2331186x.2022.2084956;Vietnam;"Thi Phuong, T. T.; Danh, N. N.; Thi Le, T. T.; Phuong, T. N.; Thi Thanh, T. N.; Minh, C. L.";Research on the application of ICT in Mathematics education: Bibliometric analysis of scientific bibliography from the Scopus database;"ICT; mathematics education; bibliometric analysis; Scopus";0;0;0;0;0;1;0;1;0;0;0;0;1;1;bibliometric;1;0;1;0;0;fragebogen;quantitative;
3;W4225611662;S2738252563;AERA Open;2022;TRUE;FALSE;https://doi.org/10.1177/23328584211065725;USA;"Moeller, J.; von Keyserlingk, L.; Spengler, M.; Gaspard, H.; Lee, H. R.; Yamaguchi-Pedroza, K.; Yu, R.; Fischer, C.; Arum, R.";Risk and Protective Factors of College Students Psychological Well-Being During the COVID-19 Pandemic: Emotional Stability, Mental Health, and Household Resources;COVID-19 pandemic, college students, psychological well-being, emotions, experience sampling method, personality, intraindividual trajectories;0;0;0;0;0;1;0;1;1;0;0;0;1;0;NA;0;0;0;1;0;mplus_outputs;quantitative;
4;W4206828491;S2738252563;AERA Open;2021;FALSE;TRUE;https://doi.org/10.1177/23328584211063898;USA;"Aguilar, S. J.; Rosenberg, J. M.; Greenhalgh, S. P.; Ftterer, T.; Lishinski, A.; Fischer, C.";A Different Experience in a Different Moment? Teachers Social Media Use Before and During the COVID-19 Pandemic;"online spaces; teacher learning; professional learning networks; COVID-19; social media; stress";0;0;0;0;0;1;0;1;1;0;0;1;0;0;NA;0;1;0;0;NA;NA;quantitative;
5;W2902600776;S2738252563;AERA Open;2021;TRUE;FALSE;https://doi.org/10.1177/2332858421989707;USA;"Swanson, E.; Kopotic, K.; Zamarro, G.; Mills, J. N.; Greene, J. P.; Ritter, G. W.";An Evaluation of the Educational Impact of College Campus Visits: A Randomized Experiment;"college access; experimental research; postsecondary education; program evaluation; rural education; socioemotional skills; survey research";0;0;0;0;0;1;0;1;0;1;1;1;1;0;NA;0;0;0;0;1;NA;quantitative;
6;W3167913005;S2738252563;AERA Open;2021;FALSE;TRUE;https://doi.org/10.1177/23328584211024261;USA;"Rosenberg, J. M.; Borchers, C.; Dyer, E. B.; Anderson, D.; Fischer, C.";Understanding Public Sentiment About Educational Reforms: The Next Generation Science Standards on Twitter;public sentiment, Next Generation Science Standards, sentiment analysis, educational data science;0;0;0;0;0;1;0;1;0;0;0;0;1;0;NA;0;1;1;0;NA;NA;quantitative;
7;W4237051483;S2738252563;AERA Open;2021;TRUE;FALSE;https://doi.org/10.1177/23328584211049223;USA;"Binning, K. R.; Blatt, L. R.; Chen, S.; Votruba-Drzal, E.";Going to College With a Posse: How Having High School Peers on Campus Supports College Achievement;"admissions; equity; first-generation college students; hierarchical linear modeling; higher education; peer interaction/friendship; privilege; psychology; regression analyses; retention; social belonging; social capital; socioeconomic status";0;0;0;0;0;1;0;1;0;0;0;0;1;0;NA;0;0;0;1;NA;supplement_results;quantitative;
8;W3197246596;S2738252563;AERA Open;2021;TRUE;FALSE;https://doi.org/10.1177/23328584211040083;USA;"Courey, K. A.; Lee, M. D.";A Model-Based Examination of Scale Effects in Student Evaluations of Teaching;"student evaluations of teaching; response scales; scale mapping";0;0;0;0;0;1;1;0;0;1;1;1;1;0;NA;1;1;1;0;NA;fragebogen;quantitative;
9;W3043092346;S2738252563;AERA Open;2020;FALSE;TRUE;https://doi.org/10.1177/2332858420940312;USA;"Li, L.; Demszky, D.; Bromley, P.; Jurafsky, D.";Content Analysis of Textbooks via Natural Language Processing: Findings on Gender, Race, and Ethnicity in Texas U.S. History Textbooks;"artificial intelligence; case studies; content analysis; curriculum; data science; gender studies; history; natural language processing; race; textbooks; textual analysis";0;0;0;0;0;1;1;0;0;0;0;0;1;0;NA;0;1;1;0;NA;kodiermaterial;quantitative;
10;W2964514965;S2738252563;AERA Open;2019;TRUE;FALSE;https://doi.org/10.1177/2332858419867692;USA;Kirksey, J. J.;Academic Harms of Missing High School and the Accuracy of Current Policy Thresholds: Analysis of Preregistered Administrative Data From a California School District;"absenteeism; high school; preregistration; secondary data";0;0;0;0;0;1;0;1;0;0;0;0;1;0;NA;NA;NA;NA;NA;1;NA;quantitative;
11;W2945690307;S2738252563;AERA Open;2019;TRUE;FALSE;https://doi.org/10.1177/2332858419848446;USA;"Peters, S. J.; Rambo-Hernandez, K.; Makel, M. C.; Matthews, M. S.; Plucker, J. A.";Effect of Local Norms on Racial and Ethnic Representation in Gifted Education;"assessment; descriptive analysis; diversity; equity; gifted education; hierarchical linear modeling; policy analysis";0;0;0;0;0;1;0;1;0;0;0;0;1;0;NA;NA;NA;NA;NA;1;NA;quantitative;
12;W2923218589;S2738252563;AERA Open;2019;TRUE;FALSE;https://doi.org/10.1177/2332858419839707;USA;"Robinson, C. D.; Scott, W.; Gottfried, M. A.";Taking It to the Next Level: A Field Experiment to Improve Instructor-Student Relationships in College;"college; persistence; instructor-student relationships; similarity; intervention";0;0;0;0;0;1;0;1;0;1;1;1;1;0;NA;NA;NA;NA;NA;1;NA;quantitative;
